Sl No,Level,Country,Number of Vote,Date of Votes,Title in English,Title in German,Title in French,Title in Italien,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
1,Country,Switzerland,590,2015-03-08,Citizens' initiative of 5 November 2012 «Strength families! For tax free children and education supplements»,Volksinitiative vom 5. November 2012 «Familien stärken! Steuerfreie Kinder- und Ausbildungszulagen»,Initiative populaire du 5 Novembre 2012 «Aider les familles! Pour des allocations pour enfant et des allocation de formation professionnelle exonérées de l'impot»,,35,159,4,13,32,0,Rejection,Not known,Not known,2187902,Not known,Not known,537715,1650187,0,23,none,,,,,,Initiative (Formulated Draft),,,                CVP             ,                            ,"Direct taxation | Family policy | Welfare",0,2187902,24.58,75.42,no,
2,Country,Switzerland,591,2015-03-08,Citizens' initiative of 17 December 2012 «To replace of value added taxes by taxes on energy»,Volksinitiative vom 12 Dezember 2012 «Energie- statt Mehrwertsteuer»,Initiative populaire du 17 Décembre «Remplacer la taxe sur la valeur ajoutée par une taxe sur l'energie»,,27,171,0,3,40,2,Rejection,5247489,Not known,2185812,Not known,Not known,175769,2010043,0,23,none,,,,,,Initiative (Formulated Draft),,,GLP ,,"Taxation | Indirect taxation | Energy policy",41.65,2185812,8.04,91.96,no,
3,Country,Switzerland,587,2014-11-30,Citizens' initiative of 19.10.2012 «to end tax breaks for wealthy foreigners» (Abolition of lump sum taxation),Volksinitiative vom 19.10.2012 «Schluss mit den Steuerprivilegien für Millionäre (Abschaffung der Pauschaulbesteuerung),Initiative populaire du 19.10.2012 «Halte aux privilèges fiscaux des millionnaires (abolition des forfaits fiscaux»,,62,135,1,13,30,2,Rejection,5247489,142651,2618768,29634,7895,1053125,1528114,1,22,none,,,,,,Initiative (Formulated Draft),,,Alternative Liste  www.pauschalsteuer-abschaffen.ch            ,                            ,"Public finance | Tax policy | Financial system",49.91,2581239,40.8,59.2,no,
4,Country,Switzerland,588,2014-11-30,Citizens' initiative of 02.11.2012 «Halt overpopulation - Preserve the natural environment» (Ecopop),Volksinitiative vom 02.11.2012 «Stopp der Überbevölkerung - zur Sicherung der natürlichen Lebensgrundlagen» (Ecopop),Initiative populaire du 02.11.2012 «Halte à la surpopulation - Oui à la préservation durable des ressources naturelles» (Ecopop),,3,190,5,1,44,0,Rejection,5247489,142651,2622700,23261,7886,671099,1920454,0,23,none,,,,,,Initiative (Formulated Draft),,,                Verein Ecopop  www.ecopop-ja.ch            ,                            ,"Environment and living space | Immigration policy | Development cooperation",49.98,2591553,25.9,74.1,no,
5,Country,Switzerland,589,2014-11-30,Citizens' initiative of 30.03.2013 «Save our Swiss Gold» (Restrictions for central bank gold reserves),Volksinitiative vom 20.03.2013 «Rettet unser Schweizer Gold (Gold-Initiative),Initiative populaire du 20.03.2013 «Sauvez l'or de la Suisse (Initiative sur l'or)» ,,22,156,20,2,43,0,Rejection,5247489,142651,2613900,50830,8405,580528,1974137,0,23,none,,,,,,Initiative (Formulated Draft),,,                Hinter dem Anliegen stehen einzelne Personen aus dem Umfeld SVP und der Aktion für eine unabhängige und neutrale Schweiz (Auns). Die SVP Schweiz ist gegen die Vorlage!            ,                            ,"Economy | National bank | Monetary policy",49.81,2554665,22.72,77.28,no,
6,Country,Bahrain ,bh012014,2014-11-22,State Reform,Wünschbarkeit einer Staatsreform,,,,,,,,,,250000,,178625,,,177118,1256,,,none,,,,,,Inofficial vote,,,,,"Political system | none | none",71.45,178374,99.3,0.7,yes,
7,Country,American Samoa,as012014,2014-11-04,Parliament can lift veto of the Governor,Parlament kann Veto des Gouverneurs aufheben,,,,,,,,,,16776,,Not known,,,2670,7526,,,none,,,,,,Mandatory Constitutional Referendum,,,,,"Intergovernmental relations | Parliament | Government, administration",0,10196,26.19,73.81,no,
8,Country,Guam,gu012014,2014-11-04,,Marihuana für medizinische Zwecke,,,,,,,,,,51975,,37373,2482,16,19690,15174,,,none,,,,,0,,,,,,"",0,34864,56.48,43.52,yes,
9,Country,Northern Mariana Islands,mp012014,2014-11-04,,Wahl eines Verfassungsrates,,,,,,,,,,17986,,13798,,,7859,4046,,,none,,,,,0,,,,,,"",0,11905,66.01,33.99,yes,
10,Country,Northern Mariana Islands,mp022014,2014-11-04,,Definition der nordmarianischen Abstammung,,,,,,,,,,17986,,13798,,,6177,5624,,,none,,,,,0,,,,,,"",0,11801,52.34,47.66,yes,
